Name,Surname,Declaration_Date,Political_Party,Part_of_Cabinet_on_Date,FIMP,Gross_Income_EUR
Carmelo,Abela,15/02/2023,PL,No,1001,
Jo Etienne ,Abela,07/02/2023,PL,Yes,1002,"€67,350.54"
Ray,Abela,20/04/2023,PL,No,1003,
Robert ,Abela,28/04/2023,PL,Yes,1004,
Chris,Agius,20/02/2023,PL,Yes,1005,
David ,Agius,24/04/2023,PN,No ,1006,
Anthony,Agius Decelis,20/04/2023,PL,No,1007,
Malcolm Paul,Agius Galea,28/04/2023,PL,No,1008,
Karol ,Aquilina,27/04/2023,PN,No,1009,
Jonathan ,Attard,25/04/2023,PL,Yes,1010,
Graziella ,Attard Previ,17/04/2023,PN ,No,1011,
Charles ,Azzopardi,13/03/2023,PN,No,1012,"€23,997.00"
Jason ,Azzopardi,28/04/2023,PN,No ,1013,
Keith ,Azzopardi Tanti,02/03/2023,PL,No,1014,
Clayton,Bartolo,28/02/2023,PL,Yes,1015,
Evarist ,Bartolo,13/05/2023,PL,No,1016,
Ivan ,Bartolo,11/02/2023,PN,No,1017,
Ivan J.,Bartolo,14/05/2023,PN,No,1018,
Glenn ,Bedingfield,25/04/2023,PL,No,1019,
Graham,Bencini,27/04/2023,PN,No,1020,
Toni ,Bezzina,24/04/2023,PN,No,1021,
Bernice,Bonello,22/04/2023,PN,No,1022,
Chris,Bonett,08/02/2023,PL,Yes,1023,
Owen ,Bonnici,17/02/2023,PL,No,1024,
Alex,Borg,28/04/2023,PN,No,1025,
Eve,Borg Bonello,25/04/2023,PN,No,1026,
Ian,Borg,04/04/2023,PL,Yes,1027,
Rebekah ,Borg,24/04/2023,PN,No,1028,
Alicia,Bugeja Said,20/04/2023,PL,Yes,1029,
Albert,Buttigieg,17/04/2023,PN,No,1030,
Claudette ,Buttigieg,17/04/2023,PN,No,1031,
Rebecca,Buttigieg,21/02/2023,PL,No,1032,
Naomi,Cachia,28/04/2023,PL,No,1033,
Ryan ,Callus,16/04/2023,PN,No,1034,
Abigail,Camilleri,26/04/2023,PL,No,1035,
Byron,Camilleri,09/02/2023,PL,Yes,1036,
Clint,Camilleri,24/04/2023,PL,Yes,1037,
Darren ,Carabott,14/03/2023,PN,No,1038,
Jerome ,Caruana Cilia,26/04/2023,PN,Yes,1039,
Clyde,Caruana,16/02/2023,PL,Yes,1040,
Justyne,Caruana,12/04/2023,PL,No,1041,
Ian,Castaldi Paris,12/04/2023,PL,No,1042,
Ivan,Castillo,19/04/2023,PN,No,1043,
Janice,Chetcuti,24/04/2023,PN,No,1044,
Therese,Comodini Cachia,30/04/2023,PN,No,1045,
Kevin,Cutajar,08/04/2023,PN,No,1046,
Robert ,Cutajar,29/03/2023,PN,No,1047,
Rosianne,Cutajar,18/04/2023,PL,No (Resigned 3/4/2023),1048,
Miriam,Dalli,03/03/2023,PL,Yes,1049,
Randolph,De Battista,06/03/2023,PL,No,1050,
Katya,De Giovanni,16/03/2023,PL,No,1051,
Mario,De Marco,26/04/2023,PN,No,1052,
Deo,Debattista,28/03/2023,PL,No,1053,"€71,591.00"
Maria,Deguara,20/04/2023,PN,No,1054,
Adrian,Delia,13/02/2023,PN,No,1055,
Andy,Ellul,09/02/2023,PL,No,1056,
Michael ,Falzon,30/04/2023,PL,Yes,1057,
Aaron,Farrugia,02/02/2023,PL,Yes,1058,
Godfrey,Farrugia,25/04/2023,Independent,No,1059,"€32,808.00"
Marlene,Farrugia,21/04/2023,Independent,No,1060,
Michael,Farrugia,22/02/2023,PL,No,1061,
Omar,Farrugia,25/04/2023,PL,No,1062,
Julia,Farrugia Portelli,16/02/2023,PL,Yes,1063,
Chris,Fearne,20/02/2023,PL,Yes,1064,
Beppe,Fenech Adami,11/04/2023,PN,No,1065,
Roderick,Galdes,22/02/2023,PL,Yes,1066,
Cressida,Galea,22/02/2023,PL,No,1067,
Graziella,Galea,27/04/2023,PN,No,1068,
Mario,Galea,10/04/2023,PN,No,1069,
Joe,Giglio,22/04/2023,PN,No,1070,
Bernard,Grech,23/04/2023,PN,No,1071,
Grima,Clifton,01/02/2023,PL,Yes,1072,
Jean Claude,Micallef,15/02/2023,PL,No,1073,
Carmelo,Mifsud Bonnici,26/04/2023,PN,No,1074,
Paula,Mifsud Bonnici,27/03/2023,PN,No,1075,
Joe,Mizzi,08/03/2023,PL,No,1076,
Konrad,Mizzi,27/04/2023,Independent,No,1077,
Alex,Muscat,08/02/2023,PL,No,1078,
Anton,Refalo,19/02/2023,PL,Yes,1079,
Chris,Said,28/03/2023,PN,No,1080,
Davina,Sammut Hili,09/03/2023,PL,No,1081,
Mark Anthony,Sammut,24/02/2023,PN,No,1082,
Justin,Schembri,19/04/2023,PN,No,1083,
Silvio,Schembri,14/02/2023,PL,Yes,1084,
Hermann,Schiavone,10/03/2023,PN,No,1085,
Oliver,Scicluna,11/02/2023,PL,No,1086,
Amanda,Spiteri Grech,24/02/2023,PL,No,1087,
Stephen,Spiteri,28/04/2023,PN,No,1088,
Edwin,Vassallo,12/03/2023,PN,No,1089,
Ian,Vassallo,20/03/2023,PN,No,1090,
Julie,Zahra,01/04/2023,PN,No,1091,
Edward,Zammit Lewis,08/02/2023,PL,No,1092,
Stanley,Zammit,18/04/2023,PN,No,1093,
Romilda,Zarb,25/04/2023,PL,No,1094,
Alison,Zerafa Civelli,20/04/2023,PL,Yes,1095,
Stefan,Zrinzo Azzopardi,27/04/2023,PL,Yes,1096,